全体順位,語1,語1品詞,語2,語2品詞,共起事例数,共起事例率（％）,語1出現事例数,語2出現事例数,対象事例数
445,児童,名詞,負傷,名詞,249,3.2413,1055,1632,7682
446,自転車,名詞,転倒,名詞,249,3.2413,393,1254,7682
447,する,動詞,終了,名詞,248,3.2283,6712,271,7682
448,バランス,名詞,際,名詞,248,3.2283,534,3015,7682
449,治療,名詞,際,名詞,248,3.2283,372,3015,7682
450,いる,動詞,右手,名詞,247,3.2153,5314,347,7682
451,する,動詞,左手,名詞,247,3.2153,6712,266,7682
452,ボール,名詞,蹴る,動詞,247,3.2153,1623,400,7682
453,強打,名詞,顔面,名詞,247,3.2153,810,1039,7682
454,活動,名詞,負傷,名詞,247,3.2153,1104,1632,7682
455,ある,動詞,中,名詞,245,3.1893,551,4291,7682
456,いる,動詞,頭,名詞,245,3.1893,5314,355,7682
457,ため,名詞,転倒,名詞,245,3.1893,1266,1254,7682
458,ところ,名詞,体育,名詞,245,3.1893,1929,891,7682
459,ボール,名詞,場,名詞,245,3.1893,1623,886,7682
460,崩す,動詞,際,名詞,245,3.1893,518,3015,7682
461,相手,名詞,眼,名詞,245,3.1893,908,1473,7682
462,打球,名詞,練習,名詞,244,3.1763,352,2068,7682
463,する,動詞,性,名詞,243,3.1632,6712,252,7682
464,する,動詞,選手,名詞,243,3.1632,6712,271,7682
465,ところ,名詞,活動,名詞,243,3.1632,1929,1104,7682
466,児童,名詞,右,名詞,243,3.1632,1055,1550,7682
467,生徒,名詞,行う,動詞,243,3.1632,2296,601,7682
468,生徒,名詞,運動,名詞,243,3.1632,2296,809,7682
469,足,名詞,転倒,名詞,243,3.1632,667,1254,7682
470,いる,動詞,バッティング,名詞,241,3.1372,5314,279,7682
471,いる,動詞,頭部,名詞,241,3.1372,5314,373,7682
472,する,動詞,られる,動詞,241,3.1372,6712,287,7682
473,する,動詞,切る,動詞,241,3.1372,6712,303,7682
474,する,動詞,残存,名詞,241,3.1372,6712,241,7682
475,倒れる,動詞,際,名詞,241,3.1372,612,3015,7682
476,右,名詞,相手,名詞,241,3.1372,1550,908,7682
477,場,名詞,当たる,動詞,241,3.1372,886,1708,7682
478,残る,動詞,負傷,名詞,241,3.1372,797,1632,7682
479,いる,動詞,室,名詞,240,3.1242,5314,323,7682
480,する,動詞,飛ぶ,動詞,240,3.1242,6712,274,7682
481,中,名詞,投げる,動詞,240,3.1242,4291,403,7682
482,する,動詞,衝突,名詞,239,3.1112,6712,239,7682
483,ボール,名詞,直撃,名詞,239,3.1112,1623,488,7682
484,中,名詞,受診,名詞,239,3.1112,4291,279,7682
485,直撃,名詞,眼,名詞,239,3.1112,488,1473,7682
486,いる,動詞,手術,名詞,238,3.0982,5314,335,7682
487,強打,名詞,部,名詞,238,3.0982,810,2321,7682
488,時,名詞,際,名詞,238,3.0982,753,3015,7682
489,上,名詞,際,名詞,237,3.0851,541,3015,7682
490,いる,動詞,打球,名詞,236,3.0721,5314,352,7682
491,いる,動詞,膝,名詞,236,3.0721,5314,358,7682
492,とき,名詞,ボール,名詞,236,3.0721,1108,1623,7682
493,ボール,名詞,顔面,名詞,236,3.0721,1623,1039,7682
494,中,名詞,性,名詞,236,3.0721,4291,252,7682
495,当たる,動詞,打つ,動詞,236,3.0721,1708,835,7682
496,する,動詞,接触,名詞,235,3.0591,6712,239,7682
497,場,名詞,左,名詞,235,3.0591,886,1470,7682
498,サッカー,名詞,部,名詞,234,3.0461,463,2321,7682
499,ボール,名詞,他,名詞,234,3.0461,1623,1224,7682
500,場,名詞,眼,名詞,234,3.0461,886,1473,7682
