歯牙障害特徴順位,品詞,基本形,All出現回数,All出現事例数,All事例出現率(%),歯牙障害出現回数,歯牙障害出現事例数,歯牙障害事例出現率(%),出現率差_歯牙障害-All,出現率倍率_歯牙障害_All
2868,名詞,切り口,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2869,名詞,切り返し,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2870,名詞,切れ,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2871,名詞,切れ目,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2872,名詞,切端,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2873,名詞,初心者,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2874,名詞,利き手,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2875,名詞,利き腕,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2876,名詞,制動,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2877,名詞,刺青,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2878,名詞,前回,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2879,名詞,前年,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2880,名詞,前後ろ,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2881,名詞,前月,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2882,名詞,前約,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2883,名詞,前頭,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2884,名詞,前頭葉,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2885,名詞,前髪,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2886,名詞,剝離,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2887,名詞,剝離術,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2888,名詞,剣,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
2889,名詞,剥き出し,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2890,名詞,割りばし,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
2891,名詞,創造,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2892,名詞,創部,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2893,名詞,劣化,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2894,名詞,助手,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2895,名詞,効果,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2896,名詞,動画,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2897,名詞,動脈血,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2898,名詞,動静,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2899,名詞,勝ち,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2900,名詞,勝ち抜き,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2901,名詞,包丁,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
2902,名詞,北方,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2903,名詞,北門,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2904,名詞,区,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2905,名詞,千枚通し,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2906,名詞,半数,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2907,名詞,卒倒,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2908,名詞,卓,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2909,名詞,協力,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2910,名詞,南京錠,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2911,名詞,南方,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2912,名詞,単独,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2913,名詞,印刷,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2914,名詞,原っぱ,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2915,名詞,原付,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
2916,名詞,原液,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
2917,名詞,原理,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2918,名詞,参考,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2919,名詞,叉,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2920,名詞,友,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2921,名詞,反り,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2922,名詞,反則,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2923,名詞,反復,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2924,名詞,反論,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2925,名詞,受け入れ,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2926,名詞,受け取り,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2927,名詞,受け手,3,1,0.013,0.0,0.0,0.0,-0.013,0.0
2928,名詞,受け皿,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2929,名詞,受け答え,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2930,名詞,受渡し,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2931,名詞,受験,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2932,名詞,口喧嘩,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2933,名詞,口外,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2934,名詞,口調,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2935,名詞,叩打法,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2936,名詞,可,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2937,名詞,台所,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2938,名詞,叱咤,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2939,名詞,叱責,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
2940,名詞,右脳,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2941,名詞,号令,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2942,名詞,号泣,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2943,名詞,各々,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2944,名詞,合場,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2945,名詞,合成,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2946,名詞,合板,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
2947,名詞,合格,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
2948,名詞,同伴,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2949,名詞,同体,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2950,名詞,同名,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2951,名詞,同室,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2952,名詞,同心円,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2953,名詞,同時,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2954,名詞,名札,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2955,名詞,名称,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2956,名詞,向い,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2957,名詞,君,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2958,名詞,否定,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2959,名詞,含軟式,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2960,名詞,吸引,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2961,名詞,呼名,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2962,名詞,命令,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2963,名詞,咀嚼,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2964,名詞,和紙,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2965,名詞,咳,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2966,名詞,唾,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2967,名詞,唾液,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2968,名詞,喉元,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2969,名詞,喉頭,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2970,名詞,嘱託,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2971,名詞,嘴,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2972,名詞,噂,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2973,名詞,噴出,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2974,名詞,噴水,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2975,名詞,嚢,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2976,名詞,嚢部,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2977,名詞,嚥,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
2978,名詞,嚥下,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2979,名詞,四つ,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2980,名詞,四隅,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2981,名詞,回廊,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2982,名詞,回避,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2983,名詞,団子,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2984,名詞,団長,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
2985,名詞,囲炎,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2986,名詞,図,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2987,名詞,図鑑,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2988,名詞,固まり,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
2989,名詞,国道,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2990,名詞,土下座,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2991,名詞,土留,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2992,名詞,圧,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2993,名詞,圧し,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2994,名詞,圧症,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2995,名詞,圧縮,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2996,名詞,地下,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2997,名詞,地中,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2998,名詞,地獄,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
2999,名詞,地球,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3000,名詞,垂れ幕,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3001,名詞,城壁,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3002,名詞,執拗,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3003,名詞,基部,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3004,名詞,堂,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3005,名詞,場面,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3006,名詞,塗装,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3007,名詞,塞栓性,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3008,名詞,塩,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3009,名詞,塩化ビニール,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3010,名詞,墓,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
3011,名詞,墓地,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3012,名詞,増強,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3013,名詞,増殖,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3014,名詞,壊疽,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3015,名詞,壮行,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3016,名詞,売り場,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3017,名詞,変色,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3018,名詞,夕刻,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3019,名詞,外壁,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3020,名詞,外層,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3021,名詞,多汗症,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3022,名詞,多用,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3023,名詞,夜露,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3024,名詞,大の字,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3025,名詞,大勢,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3026,名詞,大木,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3027,名詞,大根,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3028,名詞,大石,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
3029,名詞,大破,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3030,名詞,大腸,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3031,名詞,天ぷら,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3032,名詞,天文,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3033,名詞,天気,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3034,名詞,天蓋,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3035,名詞,太股,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3036,名詞,太陽光,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3037,名詞,失,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3038,名詞,失投,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3039,名詞,失調,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3040,名詞,失速,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3041,名詞,奇形,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3042,名詞,奉仕,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3043,名詞,奪取,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3044,名詞,女,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3045,名詞,好き,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3046,名詞,姉,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3047,名詞,始,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3048,名詞,始まり,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3049,名詞,委縮,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3050,名詞,威圧,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3051,名詞,字形,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3052,名詞,孟宗竹,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
3053,名詞,学期,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3054,名詞,学研,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3055,名詞,学舎,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3056,名詞,宅,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3057,名詞,宅内,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3058,名詞,完了,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3059,名詞,完成,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3060,名詞,実,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3061,名詞,実演,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3062,名詞,家具,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3063,名詞,家族,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3064,名詞,寄宿,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3065,名詞,寒稽古,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3066,名詞,寝坊,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3067,名詞,審査,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3068,名詞,寮生,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3069,名詞,対岸,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3070,名詞,対策,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3071,名詞,専攻,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3072,名詞,専用,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3073,名詞,専門医,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3074,名詞,導入,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3075,名詞,小便,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3076,名詞,小刻み,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3077,名詞,小太鼓,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3078,名詞,小山,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3079,名詞,小川,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3080,名詞,小骨,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3081,名詞,少林寺拳法,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3082,名詞,少量,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3083,名詞,尻尾,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3084,名詞,尿毒症,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3085,名詞,局部,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3086,名詞,居眠り,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3087,名詞,屈,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3088,名詞,屈測定,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3089,名詞,屈腕前,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3090,名詞,屈運動,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3091,名詞,屋,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3092,名詞,履,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
3093,名詞,山の上,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3094,名詞,山の下,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3095,名詞,山岳,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3096,名詞,山肌,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3097,名詞,岩場,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3098,名詞,岸壁,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3099,名詞,峠,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3100,名詞,川原,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3101,名詞,川底,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
3102,名詞,巣,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3103,名詞,工,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3104,名詞,工夫,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3105,名詞,工程,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3106,名詞,左きき,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3107,名詞,左内側,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3108,名詞,左利き,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3109,名詞,左隅,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3110,名詞,巧,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3111,名詞,差し,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3112,名詞,市内,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3113,名詞,市販,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3114,名詞,市道,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3115,名詞,席次,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3116,名詞,帰着,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3117,名詞,常,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3118,名詞,幅跳び,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
3119,名詞,平,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3120,名詞,平手,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3121,名詞,平手打ち,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3122,名詞,平板,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3123,名詞,平熱,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3124,名詞,平行,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3125,名詞,年少,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3126,名詞,年度,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3127,名詞,広告,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3128,名詞,床や,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3129,名詞,床上,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3130,名詞,延縄,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3131,名詞,建,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3132,名詞,建具,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3133,名詞,建物,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3134,名詞,建築,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3135,名詞,引き上げ,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3136,名詞,引き合い,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3137,名詞,引き抜き,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3138,名詞,引戸,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3139,名詞,引継ぎ,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3140,名詞,弟,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3141,名詞,張り手,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3142,名詞,張手,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3143,名詞,強力,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3144,名詞,強引,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3145,名詞,強振,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3146,名詞,強要,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3147,名詞,彎,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3148,名詞,当事者,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3149,名詞,当該,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3150,名詞,形状,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3151,名詞,形相,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3152,名詞,形跡,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3153,名詞,待ち合わせ,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3154,名詞,後夜,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3155,名詞,後天,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3156,名詞,後手,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3157,名詞,後輩,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3158,名詞,後退,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3159,名詞,後逸,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3160,名詞,後遺,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3161,名詞,徐,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3162,名詞,徒競走,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3163,名詞,得点,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3164,名詞,得点板,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3165,名詞,復旧,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3166,名詞,復活,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3167,名詞,微生物,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3168,名詞,徹夜,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3169,名詞,心不全,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3170,名詞,心神喪失,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3171,名詞,心配,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3172,名詞,応接,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3173,名詞,応用,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3174,名詞,快調,2,1,0.013,0.0,0.0,0.0,-0.013,0.0
3175,名詞,念,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3176,名詞,思い違い,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3177,名詞,急変,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3178,名詞,急行,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3179,名詞,性的,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3180,名詞,悪夢,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3181,名詞,悪心,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3182,名詞,情報,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3183,名詞,情緒,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3184,名詞,愁訴,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3185,名詞,意,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3186,名詞,意味,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3187,名詞,意志,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3188,名詞,意欲,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3189,名詞,態勢,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3190,名詞,慎重,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3191,名詞,慣性,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3192,名詞,懇談,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3193,名詞,成型,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3194,名詞,成熟,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3195,名詞,戦中,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3196,名詞,戸口,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3197,名詞,所内,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3198,名詞,扁桃周,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3199,名詞,手づかみ,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3200,名詞,手中,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3201,名詞,手作り,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3202,名詞,手入れ,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3203,名詞,手動,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3204,名詞,手帳,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3205,名詞,手打ち,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3206,名詞,手提げ袋,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3207,名詞,手摺,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3208,名詞,手紙,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3209,名詞,手配,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3210,名詞,手鍋,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3211,名詞,手順,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3212,名詞,払巻込,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3213,名詞,扼型眼,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3214,名詞,把握,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3215,名詞,抑制,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
3216,名詞,投与,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
