全体順位,語1,語1品詞,語2,語2品詞,共起事例数,共起事例率(%),語1出現事例数,語2出現事例数,対象事例数
459,くる,動詞,際,名詞,62,3.9166,149,620,1583
460,する,動詞,ソフトボール,名詞,62,3.9166,1428,68,1583
461,する,動詞,頭,名詞,62,3.9166,1428,74,1583
462,れる,動詞,顔面,名詞,62,3.9166,180,489,1583
463,上,名詞,際,名詞,62,3.9166,140,620,1583
464,中,名詞,強い,形容詞,62,3.9166,902,131,1583
465,地面,名詞,転倒,名詞,62,3.9166,101,398,1583
466,床,名詞,強打,名詞,62,3.9166,189,302,1583
467,床,名詞,歯,名詞,62,3.9166,189,444,1583
468,打つ,動詞,歯,名詞,62,3.9166,202,444,1583
469,折,名詞,生徒,名詞,62,3.9166,183,505,1583
470,いる,動詞,ソフトボール,名詞,61,3.8534,1049,68,1583
471,いる,動詞,地面,名詞,61,3.8534,1049,101,1583
472,いる,動詞,廊下,名詞,61,3.8534,1049,76,1583
473,する,動詞,捕る,動詞,61,3.8534,1428,65,1583
474,ため,名詞,負傷,名詞,61,3.8534,259,373,1583
475,ノック,名詞,練習,名詞,61,3.8534,100,462,1583
476,中,名詞,手,名詞,61,3.8534,902,123,1583
477,中,名詞,直撃,名詞,61,3.8534,902,99,1583
478,中,名詞,足,名詞,61,3.8534,902,142,1583
479,前歯,名詞,友人,名詞,61,3.8534,721,121,1583
480,場,名詞,野球,名詞,61,3.8534,157,205,1583
481,守備,名詞,練習,名詞,61,3.8534,79,462,1583
482,生徒,名詞,破る,動詞,61,3.8534,505,175,1583
483,いる,動詞,口元,名詞,60,3.7903,1049,85,1583
484,中,名詞,時,名詞,60,3.7903,902,133,1583
485,他,名詞,部,名詞,60,3.7903,191,485,1583
486,場,名詞,歯,名詞,60,3.7903,157,444,1583
487,場,名詞,生徒,名詞,60,3.7903,157,505,1583
488,崩す,動詞,転倒,名詞,60,3.7903,120,398,1583
489,当たる,動詞,折,名詞,60,3.7903,410,183,1583
490,打球,名詞,練習,名詞,60,3.7903,85,462,1583
491,本,名詞,部,名詞,60,3.7903,215,485,1583
492,しまう,動詞,生徒,名詞,59,3.7271,159,505,1583
493,する,動詞,振る,動詞,59,3.7271,1428,63,1583
494,ところ,名詞,試合,名詞,59,3.7271,357,237,1583
495,上,名詞,本,名詞,59,3.7271,140,215,1583
496,前,名詞,際,名詞,59,3.7271,162,620,1583
497,加える,動詞,折,名詞,59,3.7271,197,183,1583
498,加える,動詞,破る,動詞,59,3.7271,197,175,1583
499,口,名詞,打つ,動詞,59,3.7271,359,202,1583
500,口,名詞,相手,名詞,59,3.7271,359,211,1583
